i,cx,cy,jac_nx_raw,jac_ny_raw,jac_nx,jac_ny,sdf_nx,sdf_ny,dot,angle_deg
46,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
47,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
48,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
49,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
50,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
51,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
52,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
53,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
54,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
55,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
56,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
57,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
58,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
59,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
60,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
61,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
62,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
63,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
64,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
65,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
66,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
67,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
68,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
69,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
70,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
71,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
72,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
73,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
74,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
75,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
76,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
77,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
78,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
79,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
80,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
81,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
82,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
